node_id,origen,timestamp_ms,tds_ppm,ph,turbidez_ntu,temp_agua_c,temp_ambiente_c,nivel_m,alerta,estado_mapek
nodo_chancay_01,sintetico,1780272000000,235.0,7.4,14.4,16.0,17.4,1.18,False,0
nodo_chancay_01,sintetico,1780272060000,228.6,7.49,7.4,15.3,16.8,1.22,False,0
nodo_chancay_01,sintetico,1780272120000,236.5,7.54,13.9,15.7,16.7,1.17,False,0
nodo_chancay_01,sintetico,1780272180000,245.2,7.38,11.9,15.8,17.0,1.16,False,0
nodo_chancay_01,sintetico,1780272240000,227.7,7.48,21.7,15.8,17.1,1.2,False,0
nodo_chancay_01,sintetico,1780272300000,227.7,7.49,17.8,15.8,16.4,1.18,False,0
nodo_chancay_01,sintetico,1780272360000,245.8,7.41,0.0,15.4,16.6,1.2,False,0
nodo_chancay_01,sintetico,1780272420000,237.7,7.59,15.3,15.8,16.8,1.19,False,0
nodo_chancay_01,sintetico,1780272480000,225.3,7.49,9.3,15.7,16.0,1.17,False,0
nodo_chancay_01,sintetico,1780272540000,235.4,7.33,7.7,15.7,17.0,1.22,False,0
nodo_chancay_01,sintetico,1780272600000,225.4,7.42,3.6,16.0,17.3,1.23,False,0
nodo_chancay_01,sintetico,1780272660000,225.3,7.48,19.4,15.8,16.3,1.18,False,0
nodo_chancay_01,sintetico,1780272720000,232.4,7.58,20.1,15.6,16.5,1.25,False,0
nodo_chancay_01,sintetico,1780272780000,210.9,7.45,7.5,15.8,16.5,1.25,False,0
nodo_chancay_01,sintetico,1780272840000,212.8,7.42,20.6,15.5,17.2,1.27,False,0
nodo_chancay_01,sintetico,1780272900000,224.4,7.52,25.5,15.9,16.7,1.19,False,0
nodo_chancay_01,sintetico,1780272960000,219.9,7.37,14.0,15.7,16.5,1.2,False,0
nodo_chancay_01,sintetico,1780273020000,233.1,7.29,10.5,15.7,17.1,1.19,False,0
nodo_chancay_01,sintetico,1780273080000,220.9,7.46,14.6,15.2,17.2,1.21,False,0
nodo_chancay_01,sintetico,1780273140000,215.9,7.35,20.8,15.5,16.7,1.16,False,0
nodo_chancay_01,sintetico,1780273200000,244.7,7.66,21.6,16.0,17.1,1.19,False,0
nodo_chancay_01,sintetico,1780273260000,227.7,7.42,14.8,15.6,16.6,1.22,False,0
nodo_chancay_01,sintetico,1780273320000,230.7,7.46,10.4,15.8,15.8,1.18,False,0
nodo_chancay_01,sintetico,1780273380000,215.8,7.33,16.2,15.8,17.0,1.19,False,0
nodo_chancay_01,sintetico,1780273440000,224.6,7.52,14.5,15.9,16.5,1.22,False,0
nodo_chancay_01,sintetico,1780273500000,231.1,7.39,15.6,15.8,15.9,1.19,False,0
nodo_chancay_01,sintetico,1780273560000,218.5,7.38,13.1,15.6,15.9,1.18,False,0
nodo_chancay_01,sintetico,1780273620000,233.8,7.38,16.0,15.7,16.3,1.22,False,0
nodo_chancay_01,sintetico,1780273680000,224.0,7.26,5.7,15.5,16.3,1.2,False,0
nodo_chancay_01,sintetico,1780273740000,227.1,7.36,16.8,15.6,16.6,1.21,False,0
nodo_chancay_01,sintetico,1780273800000,224.0,7.44,20.7,15.2,16.5,1.18,False,0
